Time,Angle
1750995391.106739,151.775939079629
1750995391.1919925,132.44631426535034
1750995391.2269886,120.1462531079863
1750995391.2607136,128.55645781652555
1750995391.2921753,127.30106624484527
1750995391.3266203,128.14952674919385
1750995391.3637707,124.9207063577386
1750995391.4040082,126.70807699691657
1750995391.4553778,139.27099137423141
1750995391.4971163,136.32568254470027
1750995391.5297835,105.08768181121849
1750995391.5637832,74.00135955162438
1750995391.5962725,43.883989608592735
1750995391.626348,42.94037973802301
1750995391.658027,43.11611061406582
1750995391.6921759,43.369423295526914
1750995391.7280812,49.8159967175802
1750995391.7685323,45.35187674869968
1750995391.8165476,33.51248688864039
1750995391.8513057,40.97231393975665
1750995391.8832183,50.80382034887035
1750995391.9237719,52.466794454814334
1750995391.955669,44.027913809770794
1750995391.9956992,38.428179861189925
1750995392.0344586,38.52492401527107
1750995392.0663612,35.10951901583612
1750995392.1332037,43.04112716311941
1750995392.1752,53.87581910045117
1750995392.2153628,60.620781409692725
1750995392.2718966,69.73323771997016
1750995392.3196137,65.42494356518492
1750995392.355609,77.84339350211829
1750995392.3896098,58.50980395328139
1750995392.4241257,48.11012279620192
1750995392.4626353,47.840021148784714
1750995392.4946377,39.482864021011956
1750995392.555189,69.73233844729666
1750995392.5941827,69.08683574653828
1750995392.624769,74.30892182454453
1750995392.6547565,66.08772531392155
1750995392.6958513,68.11076330058472
1750995392.7384949,148.48463036074392
1750995392.7723894,156.16062952102385
1750995392.8033903,168.26458154688288
1750995392.8781922,167.50227667299973
1750995392.9209318,166.3000448465657
1750995392.9529288,165.2806797516961
1750995392.9869292,165.50826483791687
1750995393.0194528,166.0562136353251
1750995393.0526962,166.3887863985362
1750995393.0818036,167.53555074914854
1750995393.1107068,165.74916184521686
1750995393.1412342,164.62878198584235
1750995393.1712353,164.12533541423932
1750995393.2003424,163.8070584369061
1750995393.23099,163.54174515318041
1750995393.263911,164.48612421950187
1750995393.2968845,164.21817750997934
1750995393.3359349,164.4679241270866
1750995393.3700376,164.53604372972742
1750995393.4060485,165.71253721593828
1750995393.4385664,165.50435004695902
1750995393.4875636,166.18158336802983
1750995393.5308828,166.58612443488275
1750995393.5948808,166.38134018295423
1750995393.6313968,166.76272051376023
1750995393.6634011,167.06380741223822
1750995393.7043989,167.02153181169803
1750995393.7442036,168.3336442573223
1750995393.7812424,167.1188169727259
1750995393.817934,165.42090632010422
1750995393.8494546,164.8710523715919
1750995393.8824573,164.94592887992212
1750995393.9185677,164.59349764411826
1750995393.9490917,164.59349764411826
1750995393.9880915,164.34308815487984
